Species,A19_average,gfas_v1p2,perc_change,type
Formaldehyde,1.072333333,1.4,-23.4047619,peat
Formaldehyde,2.4,2.215,8.35214447,tropical_forest
Formaldehyde,1.74605768,2.1548,-18.96892149,boreal_forest
Formaldehyde,1.227850699,0.7073,73.5968753,savannah_and_grassland
Formaldehyde,2.043901764,2.1548,-5.146567475,temperate_forest
Formaldehyde,1.80625,2.115,-14.59810875,agricultural_residue
H2,2.0925,1.7814,17.46379252,temperate_forest
H2,3.090152538,3.5025,-11.77294682,tropical_forest
H2,1.22,3.5025,-65.16773733,peat
H2,1.635720107,1.7814,-8.17783167,boreal_forest
H2,0.973858803,0.9787,-0.494655891,savannah_and_grassland
H2,2.645,2.7,-2.037037037,agricultural_residue
Heptanes,0.112,0.0257,335.7976654,peat
Heptanes,0.020900038,0.0318,-34.27660979,boreal_forest
Heptanes,0.031,0.07,-55.71428571,agricultural_residue
Heptanes,0.023515733,0.0257,-8.4990923,tropical_forest
Heptanes,0.028601559,0.0318,-10.05799086,temperate_forest
Heptanes,0.015837545,0.0195,-18.78182094,savannah_and_grassland
Hexanes,0.03715493,0.0724,-48.68103614,savannah_and_grassland
Hexanes,0.067020599,0.051,31.41293839,boreal_forest
Hexanes,0.197,0.0617,219.286872,peat
Hexanes,0.099,0.245,-59.59183673,agricultural_residue
Hexanes,0.05784692,0.051,13.42533339,temperate_forest
Hexanes,0.079111199,0.0617,28.21912348,tropical_forest
Hexene,0.010644319,0.0278,-61.7110834,agricultural_residue
Hexene,0.084423026,0.0935,-9.707993517,temperate_forest
Hexene,0.04293598,0.0896,-52.08037893,savannah_and_grassland
Hexene,0.140731301,0.1144,23.01687167,peat
Hexene,0.108656951,0.0935,16.21064287,boreal_forest
Hexene,0.064913412,0.1144,-43.25750717,tropical_forest
Higher_Alkanes,0.087712011,0.1328,-33.95179901,savannah_and_grassland
Higher_Alkanes,0.300985575,0.2862,5.166168936,boreal_forest
Higher_Alkanes,0.231199906,0.4055,-42.98399367,agricultural_residue
Higher_Alkanes,0.230801237,0.2862,-19.35666056,temperate_forest
Higher_Alkanes,0.963,0.1648,484.3446602,peat
Higher_Alkanes,0.172505666,0.1648,4.675768337,tropical_forest
Higher_Alkenes,0.276358915,0.2811,-1.686618471,agricultural_residue
Higher_Alkenes,0.493229589,0.4735,4.166755899,temperate_forest
Higher_Alkenes,0.406104367,0.5061,-19.75807798,tropical_forest
Higher_Alkenes,1.291731301,0.5061,155.2324247,peat
Higher_Alkenes,0.260199838,0.3179,-18.15041281,savannah_and_grassland
Higher_Alkenes,0.45041475,0.4735,-4.875448781,boreal_forest
Isoprene,0.174857143,0.401,-56.39472747,agricultural_residue
Isoprene,0.074,0.1027,-27.94547225,boreal_forest
Isoprene,0.217931723,0.2179,0.014558284,tropical_forest
Isoprene,0.100516485,0.0257,291.1147292,savannah_and_grassland
Isoprene,0.095079989,0.1027,-7.419679599,temperate_forest
Isoprene,0.518,1.38,-62.46376812,peat
Methanol,1.347506397,1.47,-8.33289814,savannah_and_grassland
Methanol,3.270454545,3.71,-11.84758638,agricultural_residue
Methanol,2.331869033,1.8879,23.51655452,boreal_forest
Methanol,2.543333333,8.46,-69.93695823,peat
Methanol,2.18553962,1.8879,15.76564543,temperate_forest
Methanol,2.79602433,2.95,-5.219514242,tropical_forest
N2O,0.237424071,0.261,-9.032922824,boreal_forest
N2O,0.218712036,0.2372,-7.794251385,peat
N2O,0.0924,0.0985,-6.192893401,agricultural_residue
N2O,0.253333333,0.261,-2.937420179,temperate_forest
N2O,0.2,0.2372,-15.68296796,tropical_forest
N2O,0.170951611,0.2135,-19.92898784,savannah_and_grassland
NH3,1.33387431,0.9355,42.58410587,tropical_forest
NH3,0.975744312,1.6335,-40.26664756,temperate_forest
NH3,0.986343409,1.62,-39.11460439,agricultural_residue
NH3,2.46,1.6335,50.59687787,boreal_forest
NH3,4.153333333,19.92,-79.14993307,peat
NH3,0.894736541,0.7361,21.55094972,savannah_and_grassland
NMHC_sum,4.879130457,6.3255,-22.86569509,tropical_forest
NMHC_sum,4.350039973,4.5856,-5.136951042,temperate_forest
NMHC_sum,2.896578962,2.5362,14.20940629,savannah_and_grassland
NMHC_sum,9.758397968,14.9463,-34.71027634,peat
NMHC_sum,5.332004995,4.5856,16.2771501,boreal_forest
NMHC_sum,3.643419976,4.9439,-26.30473967,agricultural_residue
NOx_as_NO,1.177131317,3.4053,-65.4323755,boreal_forest
NOx_as_NO,2.397624767,2.2938,4.526321703,agricultural_residue
NOx_as_NO,1.23704,1,23.704,peat
NOx_as_NO,2.485850185,2.124,17.03626107,savannah_and_grassland
NOx_as_NO,2.812642165,2.2557,24.69043601,tropical_forest
NOx_as_NO,3.017904742,3.4053,-11.37624461,temperate_forest
OC,10.87133976,9.135,19.00755076,temperate_forest
OC,4.864922992,4.15,17.22706005,agricultural_residue
OC,5.890441377,9.135,-35.51788312,boreal_forest
OC,14.2,6.02,135.8803987,peat
OC,3.040848361,3.2124,-5.340295085,savannah_and_grassland
OC,4.448307827,4.2979,3.499565537,tropical_forest
Octenes,0.012365194,0.0124,-0.280693782,tropical_forest
Octenes,0.021256322,0.0057,272.9179287,savannah_and_grassland
Octenes,0.00240517,0.0033,-27.11607209,agricultural_residue
Octenes,0.020999582,0.0053,296.2185207,boreal_forest
Octenes,0.035868754,0.0053,576.7689485,temperate_forest
Octenes,0.065,0.0124,424.1935484,peat
PM2.5,8.152777778,8.2517,-1.198810211,agricultural_residue
PM2.5,18.86666667,9.0544,108.3701478,peat
PM2.5,8.322222222,9.0544,-8.086430661,tropical_forest
PM2.5,18.73222229,12.839,45.90094472,boreal_forest
PM2.5,6.704101068,4.9373,35.78476228,savannah_and_grassland
PM2.5,18.47695118,12.839,43.91269712,temperate_forest
Pentane,0.050277582,0.075,-32.9632246,boreal_forest
Pentane,0.041645726,0.059,-29.41402354,agricultural_residue
Pentane,0.014366869,0.0219,-34.39785959,tropical_forest
Pentane,0.033564341,0.075,-55.24754539,temperate_forest
Pentane,0.006554221,0.0151,-56.59456118,savannah_and_grassland
Pentane,0.243,0.0219,1009.589041,peat
Pentenes,0.057424334,0.0918,-37.44625915,boreal_forest
Pentenes,0.090141428,0.0918,-1.806722801,temperate_forest
Pentenes,0.172,0.1337,28.64622289,peat
Pentenes,0.038351094,0.05,-23.29781259,agricultural_residue
Pentenes,0.083238195,0.1337,-37.74256147,tropical_forest
Pentenes,0.036472594,0.0616,-40.79124393,savannah_and_grassland
SO2,0.8,0.3679,117.4503941,agricultural_residue
SO2,0.768969573,0.711,8.15324517,tropical_forest
SO2,0.6998,0.999,-29.94994995,temperate_forest
SO2,0.465177831,0.3679,26.44137842,savannah_and_grassland
SO2,4.26,0.711,499.1561181,peat
SO2,0.75,0.999,-24.92492492,boreal_forest
TC,9.797798741,8.28,18.33090267,boreal_forest
TC,14.3006,6.06,135.9834983,peat
TC,5.288742949,3.7079,42.63445479,agricultural_residue
TC,3.15954,3.7079,-14.7889641,savannah_and_grassland
TC,8.37,8.28,1.086956522,temperate_forest
TC,5.504875,6.0039,-8.311680741,tropical_forest
TPM,10.930875,11.8412,-7.687776577,tropical_forest
TPM,8.720106061,8.5068,2.507477084,savannah_and_grassland
TPM,27.48114019,11.8412,132.0807029,peat
TPM,15.3,17.6208,-13.17079815,boreal_forest
TPM,12.94571429,12.3733,4.626205505,agricultural_residue
TPM,18.35909091,17.6208,4.189883031,temperate_forest
Terpenes,0.103830161,0.0144,621.0427845,savannah_and_grassland
Terpenes,1.168304444,0.2227,424.6090903,temperate_forest
Terpenes,0.15,0.1185,26.58227848,tropical_forest
Terpenes,0.0265,0.005,430,agricultural_residue
Terpenes,1.53,0.2227,587.0229008,boreal_forest
Terpenes,0.082,0.1185,-30.80168776,peat
Toluene,0.445,1.55,-71.29032258,peat
Toluene,0.190692546,0.1769,7.796803866,savannah_and_grassland
Toluene,0.352684322,0.4031,-12.50699034,boreal_forest
Toluene,0.233634932,0.2413,-3.176572048,tropical_forest
Toluene,0.273158883,0.4031,-32.2354545,temperate_forest
Toluene,0.168186413,0.1833,-8.245274032,agricultural_residue
Toluene_lump,1.537,4.7828,-67.86401271,peat
Toluene_lump,1.027974357,0.9835,4.522049557,boreal_forest
Toluene_lump,0.539922908,0.556,-2.891563378,agricultural_residue
Toluene_lump,0.849390082,0.9835,-13.63598556,temperate_forest
Toluene_lump,0.69765385,0.6561,6.333462841,tropical_forest
Toluene_lump,0.603179989,0.4693,28.527592,savannah_and_grassland
Xylenes,0.158814851,0.0485,227.4533013,temperate_forest
Xylenes,0.104982651,0.0669,56.92473941,agricultural_residue
Xylenes,0.086482298,0.0428,102.0614439,tropical_forest
Xylenes,0.225,0.0428,425.7009346,peat
Xylenes,0.105661535,0.0485,117.8588343,boreal_forest
Xylenes,0.08592446,0.015,472.8297327,savannah_and_grassland
